date,occasion,age,keywords,commercial_weight
2026-09-01,Mokslo ir žinių diena,3–14 m.,adaptacija; klasė; grupė; taisyklės; pažintis,aukštas
2026-09-16,Tarptautinė ozono sluoksnio apsaugos diena,6–14 m.,aplinkosauga; atmosfera; Žemė,vidutinis
2026-09-21,Tarptautinė taikos diena,4–14 m.,draugystė; konfliktai; empatija; pilietiškumas,vidutinis
2026-09-26,Europos kalbų diena,5–14 m.,kalbos; žodynas; daugiakalbystė; kultūros,aukštas
2026-10-01,Tarptautinė pagyvenusių žmonių diena,4–14 m.,šeima; kartos; pagarba,vidutinis
2026-10-04,Pasaulinė gyvūnų diena,3–14 m.,gyvūnai; gamta; atsakomybė,aukštas
2026-10-05,Tarptautinė mokytojų diena,5–14 m.,mokykla; profesijos; padėka,vidutinis
2026-10-10,Pasaulinė psichikos sveikatos diena,7–14 m.,emocijos; savireguliacija; pagalba,aukštas
2026-10-16,Pasaulinė maisto diena,4–14 m.,maistas; sveikata; maisto kelias; tvarumas,aukštas
2026-11-16,Tarptautinė tolerancijos diena,4–14 m.,tolerancija; draugystė; empatija; stereotipai,labai aukštas
2026-11-20,Pasaulinė vaikų diena,4–14 m.,vaiko teisės; pagarba; saugumas,aukštas
2026-12-03,Tarptautinė žmonių su negalia diena,6–14 m.,įtrauktis; empatija; prieinamumas,aukštas
2026-12-10,Žmogaus teisių diena,8–14 m.,teisės; pareigos; pilietiškumas,aukštas
2027-01-13,Laisvės gynėjų diena,7–14 m.,istorija; pilietiškumas; atmintis,labai aukštas
2027-02-09,Saugesnio interneto diena,6–14 m.,saugus internetas; privatumas; skaitmeninis raštingumas,labai aukštas
2027-02-16,Lietuvos valstybės atkūrimo diena,5–14 m.,Lietuva; istorija; pilietiškumas; simboliai,labai aukštas
2027-02-21,Tarptautinė gimtosios kalbos diena,6–14 m.,lietuvių kalba; kalbos; tarmės,aukštas
2027-03-03,Pasaulinė laukinės gamtos diena,5–14 m.,gyvūnai; gamta; biologija,aukštas
2027-03-11,Lietuvos nepriklausomybės atkūrimo diena,5–14 m.,Lietuva; istorija; pilietiškumas,labai aukštas
2027-03-20,Pasaulinė Žemės diena,3–14 m.,Žemė; ekologija; rūšiavimas; gamta; STEAM,labai aukštas
2027-03-21,Pasaulinė Dauno sindromo diena,5–14 m.,įtrauktis; skirtybės; pagarba,aukštas
2027-03-22,Pasaulinė vandens diena,4–14 m.,vanduo; gamta; ekologija; gamtos mokslai,labai aukštas
2027-04-02,Tarptautinė vaikų knygos diena,3–12 m.,knygos; skaitymas; tekstas; pasakojimas,labai aukštas
2027-04-07,Pasaulinė sveikatos diena,4–14 m.,sveikata; kūnas; įpročiai,aukštas
2027-04-22,Tarptautinė motinos Žemės diena,4–14 m.,Žemė; tvarumas; ekologija,aukštas
2027-05-09,Europos diena,8–14 m.,Europa; geografija; pilietiškumas,aukštas
2027-05-15,Tarptautinė šeimos diena,3–12 m.,šeima; santykiai; emocijos,aukštas
