grade,subject,program_topic,aliases,source_url,source_note
1,Matematika,Natūralieji skaičiai ir sudėtis / atimtis,skaičiai iki 10 skaičiaus ir kiekio siejimas skaičių seka kaimynai skaičiaus sandara sudėtis iki 10 atimtis iki 10,https://emokykla.lt/upload/files/2026/01/05/t2025-12-29-matematika-pradinis-ugdymas-ir.pdf,"Tema aiškiai priskirta 1 klasei, tačiau šiame šaltinyje nepateikta savaitinė seka."
2,Matematika,Daugyba ir dalyba,daugybos lentelė daugyba iš 2 5 10 daugyba dalyba,https://emokykla.lt/upload/files/2026/01/05/t2025-12-29-matematika-pradinis-ugdymas-ir.pdf,2 klasėje pradedama mokytis daugybos ir dalybos; savaitinis laikas nepatvirtintas.
2,Matematika,Dalis – pasirengimas trupmenoms,trupmenos dalis pusė trečdalis ketvirtadalis aštuntadalis,https://emokykla.lt/upload/files/2026/01/05/t2025-12-29-matematika-pradinis-ugdymas-ir.pdf,"2 klasėje nagrinėjamos dalys, bet trupmenos sąvoka dar neįvedama; savaitinis laikas nepatvirtintas."
3,Matematika,Trupmenos,trupmena trupmenos trupmenų palyginimas vienodais vardikliais lygiavertės trupmenos,https://emokykla.lt/upload/files/2026/01/05/t2025-12-29-matematika-pradinis-ugdymas-ir.pdf,Trupmenos sąvoka apibrėžiama 3 klasėje; savaitinis laikas nepatvirtintas.
3,Matematika,Lygtys,lygtys lygtis vieno žingsnio nežinomasis,https://emokykla.lt/upload/files/2026/01/05/t2025-12-29-matematika-pradinis-ugdymas-ir.pdf,3 klasėje formuojama lygties sprendimo samprata; savaitinis laikas nepatvirtintas.
4,Matematika,Mišrieji skaičiai ir trupmenos,mišrieji skaičiai trupmenų sudėtis atimtis vienodais vardikliais,https://emokykla.lt/upload/files/2026/01/05/t2025-12-29-matematika-pradinis-ugdymas-ir.pdf,4 klasėje mokomasi mišriųjų skaičių sudėties ir atimties su tais pačiais vardikliais; savaitinis laikas nepatvirtintas.
5,Lietuvių kalba,"Kalbos dalys, daiktavardis, būdvardis, veiksmažodis",kalbos dalys daiktavardis būdvardis veiksmažodis linksniai,https://emokykla.lt/upload/files/2024/07/30/pagrindinio-ugdymo-lietuviu-kalbos-ir-literaturos-bp-ir-2022-12-20.pdf,5 klasėje nagrinėjama morfologija ir kalbos dalių vartojimas; savaitinis laikas šiame V9 duomenų sluoksnyje dar nesusietas.
6,Lietuvių kalba,Rašyba ir morfologija,nosinės balsės nosinių raidžių rašyba kalbos dalys linksniai skaitvardis įvardis,https://emokykla.lt/upload/files/2024/07/30/pagrindinio-ugdymo-lietuviu-kalbos-ir-literaturos-bp-ir-2022-12-20.pdf,"6 klasėje daug dėmesio skiriama nosinių raidžių rašybai, linksniams ir kalbos dalims; savaitinis laikas nepatvirtintas."
6,Lietuvių kalba,Sintaksė ir skyryba,vienarūšių sakinio dalių skyryba skyryba vientisinis sudėtinis sakinys,https://emokykla.lt/upload/files/2024/07/30/pagrindinio-ugdymo-lietuviu-kalbos-ir-literaturos-bp-ir-2022-12-20.pdf,6 klasėje įtvirtinama vienarūšių sakinio dalių skyryba; savaitinis laikas nepatvirtintas.
7,Lietuvių kalba,Linksnių vartojimas ir sintaksė,linksniai linksnių vartojimas kalbos dalys sintaksė skyryba,https://emokykla.lt/upload/files/2024/07/30/pagrindinio-ugdymo-lietuviu-kalbos-ir-literaturos-bp-ir-2022-12-20.pdf,7 klasėje daug dėmesio skiriama linksnių vartojimui ir sintaksei; savaitinis laikas nepatvirtintas.
8,Lietuvių kalba,Kalbos dalių kartojimas ir įtvirtinimas,kalbos dalys rašyba kirčiavimas,https://emokykla.lt/upload/files/2024/07/30/pagrindinio-ugdymo-lietuviu-kalbos-ir-literaturos-bp-ir-2022-12-20.pdf,8 klasėje kartojamos ir įtvirtinamos kalbos dalys; savaitinis laikas nepatvirtintas.
