stage,age,area,school_week_window,focus,basis,source_url
Ikimokyklinis,3–6 m.,Pažintinis / socialinis-emocinis,1-4,"Adaptacija, aš ir kiti, grupės susitarimai, emocijos",gairės+sezonas,https://emokykla.lt/naujienos/perziura/bendruju-programu-igyvendinimo-rekomendacijos-1/48994
Ikimokyklinis,3–6 m.,Pažintinis,5-9,"Ruduo, derlius, gamta, gyvūnai, maistas",gairės+sezonas,https://emokykla.lt/naujienos/perziura/bendruju-programu-igyvendinimo-rekomendacijos-1/48994
Ikimokyklinis,3–6 m.,Socialinis-emocinis,10-14,"Draugystė, tolerancija, saugus elgesys, savireguliacija",gairės+progos,https://emokykla.lt/naujienos/perziura/bendruju-programu-igyvendinimo-rekomendacijos-1/48994
Ikimokyklinis,3–6 m.,Pažintinis / STEAM,20-30,"Pavasaris, vanduo, Žemė, augalai, gyvūnų gyvenimas",gairės+sezonas+progos,https://emokykla.lt/naujienos/perziura/bendruju-programu-igyvendinimo-rekomendacijos-1/48994
Priešmokyklinis,5–7 m.,Kalbinis / pažinimo,1-8,"Garsai, žodžiai, pasakojimas, skaičiai, kiekiai, sekos",programa+rekomendacijos,https://emokykla.lt/metodine-medziaga/medziaga/perziura/182?r=1
Priešmokyklinis,5–7 m.,Socialinis-emocinis,1-16,"Santykiai, emocijos, bendradarbiavimas, saugumas",programa+rekomendacijos,https://emokykla.lt/metodine-medziaga/medziaga/perziura/182?r=1
1 klasė,6–8 m.,Integruotas,1-4,Aš ir kiti,ilgalaikis / integruotas planavimas,https://emokykla.lt/bendrosios-programos/visos-bendrosios-programos/43?clases=&educations=&res=1&types=10
1 klasė,6–8 m.,Integruotas,5-8,Iš ko sudarytas pasaulis?,ilgalaikis / integruotas planavimas,https://emokykla.lt/bendrosios-programos/visos-bendrosios-programos/43?clases=&educations=&res=1&types=10
1 klasė,6–8 m.,Integruotas,9-12,Kaip prisitaikome prie gamtos?,ilgalaikis / integruotas planavimas,https://emokykla.lt/bendrosios-programos/visos-bendrosios-programos/43?clases=&educations=&res=1&types=10
1 klasė,6–8 m.,Integruotas,13-16,Kaip sugrįžta šviesa?,ilgalaikis / integruotas planavimas,https://emokykla.lt/bendrosios-programos/visos-bendrosios-programos/43?clases=&educations=&res=1&types=10
1 klasė,6–8 m.,Integruotas,17-20,Kaip eina laikas?,ilgalaikis / integruotas planavimas,https://emokykla.lt/bendrosios-programos/visos-bendrosios-programos/43?clases=&educations=&res=1&types=10
1 klasė,6–8 m.,Integruotas,21-24,Kur mes gyvename?,ilgalaikis / integruotas planavimas,https://emokykla.lt/bendrosios-programos/visos-bendrosios-programos/43?clases=&educations=&res=1&types=10
1 klasė,6–8 m.,Integruotas,25-28,Kaip augti sveikam?,ilgalaikis / integruotas planavimas,https://emokykla.lt/bendrosios-programos/visos-bendrosios-programos/43?clases=&educations=&res=1&types=10
1 klasė,6–8 m.,Integruotas,29-32,Kodėl svarbi kiekviena gyvybė?,ilgalaikis / integruotas planavimas,https://emokykla.lt/bendrosios-programos/visos-bendrosios-programos/43?clases=&educations=&res=1&types=10
1 klasė,6–8 m.,Integruotas,33-35,Kuo norėčiau būti?,ilgalaikis / integruotas planavimas,https://emokykla.lt/bendrosios-programos/visos-bendrosios-programos/43?clases=&educations=&res=1&types=10
1–4 klasės,7–11 m.,Matematika,1-35,"Skaičiai, veiksmai, geometrija, matavimai, duomenys – pagal klasės ilgalaikį planą",ilgalaikiai planai,https://emokykla.lt/bendrosios-programos/paieska-bendrosiose-programose
1–4 klasės,7–11 m.,Lietuvių kalba,1-35,"Skaitymas, rašymas, kalbos pažinimas, teksto suvokimas – pagal klasės ilgalaikį planą",ilgalaikiai planai,https://emokykla.lt/bendrosios-programos/paieska-bendrosiose-programose
5–8 klasės,11–14 m.,Matematika,1-36,"Skaičiai ir skaičiavimai, algebra, geometrija, duomenys – pagal klasės ilgalaikį planą",ilgalaikiai planai,https://emokykla.lt/bendrosios-programos/paieska-bendrosiose-programose
5–8 klasės,11–14 m.,Lietuvių kalba,1-36,"Kalbos sistemos pažinimas, skaitymas, tekstas, rašymas – pagal klasės ilgalaikį planą",ilgalaikiai planai,https://emokykla.lt/bendrosios-programos/paieska-bendrosiose-programose
1–8 klasės,7–14 m.,Gyvenimo įgūdžiai,1-36,"Saugumas, emocijos, sveikata, socialiniai ir gyvenimo gebėjimai",ilgalaikiai planai,https://emokykla.lt/bendrosios-programos/pagrindinis-ugdymas/48?clases=3650
