tema,amzius,sritis,piko_menesiai,bazinis_paklausos_balas,gamybos_dienos,isankstinio_paskelbimo_dienos,paieskos_frazes
Adaptacija darželyje,3–6 m.,Socialinis-emocinis,"rugpjūtis,rugsėjis",9,1,18,adaptacija darželyje|adaptacija darzelyje|pirmos dienos darželyje|darželio adaptacija
Susipažinimas,3–7 m.,Socialinis-emocinis,"rugpjūtis,rugsėjis",8,1,18,susipažinimas
Mano vardas,4–7 m.,Kalbinis ugdymas,"rugpjūtis,rugsėjis",9,1,20,mano vardas užduotys|vardo kortelės vaikams|vardo raidė|pirma vardo raidė
Grupės taisyklės,3–7 m.,Socialinis-emocinis,"rugpjūtis,rugsėjis",8,1,18,grupės taisyklės
Dienotvarkė,3–7 m.,Socialinis-emocinis,"rugpjūtis,rugsėjis",7,2,16,dienotvarkė
Emocijos,3–8 m.,Socialinis-emocinis,"rugsėjis,spalis,sausis",8,2,18,emocijos vaikams|emocijų kortelės|jausmai vaikams|emocijų atpažinimas
Draugystė,3–8 m.,Socialinis-emocinis,"rugsėjis,vasaris",7,2,16,draugystė
Mandagumo žodžiai,3–7 m.,Socialinis-emocinis,"rugsėjis,sausis",7,1,14,mandagumo žodžiai
Konfliktų sprendimas,5–10 m.,Socialinis-emocinis,"rugsėjis,sausis",7,3,18,konfliktų sprendimas
Asmeninės ribos,5–10 m.,Gyvenimo įgūdžiai,"rugsėjis,sausis",7,3,18,asmeninės ribos
Saugus ir nesaugus elgesys,4–9 m.,Gyvenimo įgūdžiai,"rugsėjis,sausis",8,3,20,saugus ir nesaugus elgesys
Saugus eismas,4–9 m.,Gyvenimo įgūdžiai,"rugsėjis,gegužė",9,2,20,saugus eismas vaikams|saugaus eismo užduotys|kelio ženklai vaikams|šviesoforas vaikams
Kelias į mokyklą,6–9 m.,Visuomeninis ugdymas,rugsėjis,8,2,20,kelias į mokyklą
Šviesoforas,3–7 m.,Pasaulio pažinimas,"rugsėjis,gegužė",7,1,16,šviesoforas
Pojūčiai,3–7 m.,Pasaulio pažinimas,"rugsėjis,sausis",6,2,14,pojūčiai
Žmogaus kūnas,3–8 m.,Pasaulio pažinimas,"rugsėjis,sausis,balandis",7,3,18,žmogaus kūnas
Kūno dalys,3–7 m.,Pasaulio pažinimas,"rugsėjis,sausis",8,2,18,kūno dalys vaikams|žmogaus kūnas vaikams|kūno dalių kortelės
Sveika gyvensena,4–10 m.,Gyvenimo įgūdžiai,"spalis,sausis,balandis",7,3,18,sveika gyvensena
Dantukai,3–7 m.,Sveikatos ugdymas,"spalis,vasaris",6,2,14,dantukai
Higiena,3–8 m.,Sveikatos ugdymas,"rugsėjis,sausis",7,2,14,higiena
Raidės,5–8 m.,Kalbinis ugdymas,"rugsėjis,spalis,sausis",9,3,24,raidės vaikams|raidžių užduotys|mokausi raidžių|lietuvių abėcėlė vaikams
Abėcėlė,5–8 m.,Kalbinis ugdymas,"rugsėjis,spalis,sausis",8,3,22,abėcėlė
Balsės ir priebalsės,6–9 m.,Lietuvių kalba,"rugsėjis,spalis",8,3,24,balsės ir priebalsės
