grade,subject,official_topic,aliases,hours_70pct,week_start,week_end,confidence,source_count,source_type,source_url,source_note
5,Matematika,Natūralieji skaičiai,skaičiai natūralieji skaičių seka kaimynai palyginimas apvalinimas,6,1,2,78,1,NŠA oficialus pavyzdinis ilgalaikis planas,https://emokykla.lt/upload/files/2023/09/11/matematikos-bp-pagrindinio-ugdymo-ir-2023-08-31.pdf,"Langas išvestas iš oficialiame pavyzdiniame plane pateiktos temų sekos ir valandų skaičiaus; planas preliminarus, mokytojas gali koreguoti."
5,Matematika,Veiksmai su natūraliaisiais skaičiais,sudėtis atimtis daugyba dalyba veiksmai natūraliaisiais skaičiais,8,2,4,78,1,NŠA oficialus pavyzdinis ilgalaikis planas,https://emokykla.lt/upload/files/2023/09/11/matematikos-bp-pagrindinio-ugdymo-ir-2023-08-31.pdf,"Langas išvestas iš oficialiame pavyzdiniame plane pateiktos temų sekos ir valandų skaičiaus; planas preliminarus, mokytojas gali koreguoti."
5,Matematika,Trupmenos,trupmenos trupmenų palyginimas vardikliai skaitikliai lygiavertės mišrieji skaičiai,6,4,6,78,1,NŠA oficialus pavyzdinis ilgalaikis planas,https://emokykla.lt/upload/files/2023/09/11/matematikos-bp-pagrindinio-ugdymo-ir-2023-08-31.pdf,"Langas išvestas iš oficialiame pavyzdiniame plane pateiktos temų sekos ir valandų skaičiaus; planas preliminarus, mokytojas gali koreguoti."
5,Matematika,Veiksmai su trupmenomis,trupmenų sudėtis atimtis daugyba dalyba veiksmai vienodais skirtingais vardikliais mišrieji,8,6,8,78,1,NŠA oficialus pavyzdinis ilgalaikis planas,https://emokykla.lt/upload/files/2023/09/11/matematikos-bp-pagrindinio-ugdymo-ir-2023-08-31.pdf,"Langas išvestas iš oficialiame pavyzdiniame plane pateiktos temų sekos ir valandų skaičiaus; planas preliminarus, mokytojas gali koreguoti."
5,Matematika,Finansiniai skaičiavimai,procentai procento dalies radimas nuolaida finansinis raštingumas pinigai biudžetas kaina,6,7,9,78,1,NŠA oficialus pavyzdinis ilgalaikis planas,https://emokykla.lt/upload/files/2023/09/11/matematikos-bp-pagrindinio-ugdymo-ir-2023-08-31.pdf,"Langas išvestas iš oficialiame pavyzdiniame plane pateiktos temų sekos ir valandų skaičiaus; planas preliminarus, mokytojas gali koreguoti."
5,Matematika,Sekos,sekos dėsningumai skaičių sekos,5,9,11,78,1,NŠA oficialus pavyzdinis ilgalaikis planas,https://emokykla.lt/upload/files/2023/09/11/matematikos-bp-pagrindinio-ugdymo-ir-2023-08-31.pdf,"Langas išvestas iš oficialiame pavyzdiniame plane pateiktos temų sekos ir valandų skaičiaus; planas preliminarus, mokytojas gali koreguoti."
5,Matematika,Lygtys,lygtys lygtis vieno žingsnio dviejų žingsnių nežinomasis,6,10,12,78,1,NŠA oficialus pavyzdinis ilgalaikis planas,https://emokykla.lt/upload/files/2023/09/11/matematikos-bp-pagrindinio-ugdymo-ir-2023-08-31.pdf,"Langas išvestas iš oficialiame pavyzdiniame plane pateiktos temų sekos ir valandų skaičiaus; planas preliminarus, mokytojas gali koreguoti."
5,Matematika,Raidiniai reiškiniai,raidiniai reiškiniai algebra reiškinys,6,12,14,78,1,NŠA oficialus pavyzdinis ilgalaikis planas,https://emokykla.lt/upload/files/2023/09/11/matematikos-bp-pagrindinio-ugdymo-ir-2023-08-31.pdf,"Langas išvestas iš oficialiame pavyzdiniame plane pateiktos temų sekos ir valandų skaičiaus; planas preliminarus, mokytojas gali koreguoti."
5,Matematika,"Kelias, laikas, greitis",kelias laikas greitis,5,13,15,78,1,NŠA oficialus pavyzdinis ilgalaikis planas,https://emokykla.lt/upload/files/2023/09/11/matematikos-bp-pagrindinio-ugdymo-ir-2023-08-31.pdf,"Langas išvestas iš oficialiame pavyzdiniame plane pateiktos temų sekos ir valandų skaičiaus; planas preliminarus, mokytojas gali koreguoti."
5,Matematika,"Ilgis, plotas, tūris",ilgis plotas tūris matavimai,4,14,16,78,1,NŠA oficialus pavyzdinis ilgalaikis planas,https://emokykla.lt/upload/files/2023/09/11/matematikos-bp-pagrindinio-ugdymo-ir-2023-08-31.pdf,"Langas išvestas iš oficialiame pavyzdiniame plane pateiktos temų sekos ir valandų skaičiaus; planas preliminarus, mokytojas gali koreguoti."
